time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759433183.096,5500,15094,2.7402849234198188,593.8684783080653,594.9273899397826,44306218.93751875,44291125
1759433185.152,5550,15194,2.7266577203468785,592.7146946298127,595.2636000744086,44250248.65993952,44235055
1759433187.153,5600,15294,2.7165815046162876,591.9893326828867,593.4764853957668,44138930.66287746,44123637
1759433189.147,5650,15394,2.6965467734149606,592.0685355533401,593.2248420933789,44099667.00795245,44084274
1759433191.190,5700,15494,2.6836182545257907,592.105948602881,592.2411995549637,44145632.99265136,44130139
1759433193.219,5750,15594,2.672285563891444,594.2614912648842,593.1659013144708,44272692.81081348,44257099
1759433195.247,5800,15694,2.6651062385589284,593.8685719789798,592.9818245102979,44193363.79247742,44177670
1759433197.306,5850,15794,2.651102145064346,593.5127351315813,594.4683097340047,44217040.53926198,44201247
1759433199.341,5900,15894,2.6400115323269833,593.2321942892896,594.6253809793461,44108989.80385542,44093096
1759433201.373,5950,15994,2.6314661414613822,593.951181782608,594.6642775975104,44134911.205832526,44118918
1759433203.379,6000,16094,2.621419097067763,593.9019782507366,593.4837252832685,44029562.1933932,44013469
1759433205.427,6050,16194,2.61428183625697,595.5921920715581,594.2964372129902,44083833.92985469,44067640
1759433207.467,6100,16294,2.602639877512574,595.0474254812129,594.3827108831952,44087645.521218896,44071352
1759433209.490,6150,16394,2.5869415067068964,594.2181721946761,594.1144140862449,43902747.11928382,43886354
1759433211.489,6200,16494,2.576362993718784,593.2625131765591,596.0222489733096,43932515.55089438,43916022
1759433213.492,6250,16594,2.5706957388458958,593.9681898035185,595.6792266184455,43977115.570414,43960522
1759433215.491,6300,16694,2.5643948430805814,594.1074239792454,594.3403352955111,43881393.82277901,43864700
1759433217.537,6350,16794,2.551037261956099,593.6081958799591,594.6374464926032,43854510.90432098,43837717
1759433219.577,6400,16894,2.536202958490107,593.955345991615,594.380133078914,43894129.27293902,43877236
1759433221.651,6450,16994,2.5221174357676803,593.6015901341084,593.7274222977917,43815104.482972085,43798111
1759433223.705,6500,17094,2.5111381322998705,593.3634807857345,592.9349412460472,43774899.76343246,43757806
1759433225.773,6550,17194,2.5045012422549187,594.7794477277541,593.7003785507458,43875548.01689653,43858355
1759433227.924,6600,17294,2.496409624229744,593.7826520495839,593.8590936601788,43863366.20430522,43846073
1759433229.978,6650,17394,2.4848483637964405,592.6570245713174,594.5948591000019,43856438.54591126,43839045
1759433232.003,6700,17494,2.476725587168322,592.2668366939492,595.4325289420924,43891649.86650079,43874156
1759433234.026,6750,17594,2.4694770023708696,592.2676966241061,594.9839270849604,43834255.71090356,43816662
1759433236.088,6800,17694,2.465685737853165,592.6509820668698,595.062048125388,43837437.50928374,43819744
1759433238.090,6850,17794,2.452922695899136,592.2758395395947,595.845137780911,43807219.15832039,43789426
1759433240.095,6900,17894,2.446490971537853,593.7977524045839,595.050090282347,43919901.028698064,43902008
1759433242.155,6950,17994,2.431125024953684,593.5538601241825,595.5533406250313,43919106.73369015,43901113
1759433244.210,7000,18094,2.4179934814444852,592.9097538977876,596.2541120011997,43916303.33532441,43898210
1759433246.232,7050,18194,2.409614860684594,592.4501370333471,595.8858454707629,43835510.1621729,43817317
1759433248.236,7100,18294,2.40012234718221,592.1392622983682,596.744694487044,43885563.10436554,43867270
1759433250.271,7150,18394,2.3890123679364486,592.0728629952124,594.5717720521727,43811651.293075465,43793258
1759433252.322,7200,18494,2.3789484743215303,591.0347226597114,594.3806350299828,43774078.925788596,43755585
1759433254.345,7250,18594,2.3729520101916415,588.7746971132062,593.5880353636156,43640343.04637883,43621750
1759433256.372,7300,18694,2.3636834790960526,589.1668697800351,593.6342562460218,43673263.50639158,43654570
1759433258.406,7350,18794,2.35583454452607,589.3310343303784,592.7814958927795,43678798.92016151,43660005
1759433260.435,7400,18894,2.349531933006361,589.297468544286,594.5328044815656,43737801.34679658,43718908
1759433262.443,7450,18994,2.3397773376709323,589.7577146509999,595.0196678880723,43677717.11848108,43658724
1759433264.442,7500,19094,2.3310644063710098,589.4513075202354,595.3306785564163,43710879.34761194,43691786
1759433266.520,7550,19194,2.3224976658622944,589.0951925647983,593.8747368631151,43669404.403033234,43650211
1759433268.593,7600,19294,2.3139400921040707,589.8134174287466,593.0302494784685,43694309.62958215,43675016
1759433270.648,7650,19394,2.3012932107422257,588.9462490504029,592.2293061159512,43602733.9605538,43583340
1759433272.700,7700,19494,2.291033552116909,587.5427817132535,592.4225616206733,43575443.901449725,43555950
1759433274.737,7750,19594,2.285259125069908,587.1772818456317,591.4263818827781,43499529.891771145,43479936
1759433276.773,7800,19694,2.2768139254985837,587.6310437323691,591.7621106224753,43544969.473446004,43525276
1759433278.809,7850,19794,2.271912178800992,587.6416755698458,592.6950895516329,43530150.30276832,43510357
1759433280.852,7900,19894,2.2650542559110844,587.8458466336867,593.8596623970215,43594609.755790815,43574716
1759433282.923,7950,19994,2.256224660988122,586.3461563181095,594.2690511668674,43498060.86414337,43478067
1759433284.960,8000,20094,2.2499352281430327,586.2033440038931,594.6200437029847,43476465.22240771,43456372
1759433286.941,8050,20194,2.2435052128821065,587.4683213019612,594.5780900451396,43519607.840118214,43499414
1759433288.940,8100,20294,2.2352410048796885,587.8686070954806,594.9871996365471,43501704.99998765,43481411
1759433290.977,8150,20394,2.2296922676267172,588.5637175310101,595.045155155935,43603596.09559067,43583203
1759433292.979,8200,20494,2.219947557108001,589.081887311415,595.1521707073972,43605321.01245608,43584828
1759433295.000,8250,20594,2.215573851159624,588.5607238837176,594.5934535032397,43563378.17367086,43542785
1759433297.060,8300,20694,2.207117564569802,588.14785684691,595.5879970400748,43523676.17955332,43502983
1759433299.074,8350,20794,2.2037925886915133,588.4716265551895,595.0464874134095,43520095.97934113,43499302
1759433301.100,8400,20894,2.1995444062878042,589.4911863460612,595.0095467019125,43516547.343718186,43495654
1759433303.152,8450,20994,2.193970229438464,589.9797714356017,595.1795494297069,43548449.07317384,43527456
1759433305.196,8500,21094,2.1843221160212907,589.2492411452754,593.8412370837273,43471959.48507908,43450866
1759433307.192,8550,21194,2.176107405202106,589.3673243967075,592.8494975795744,43478076.58783828,43456883
1759433309.223,8600,21294,2.1667818798701566,588.451122395981,592.4339190143806,43426005.005912155,43404712
1759433311.248,8650,21394,2.1613837891561642,589.1964380541903,592.8014936973674,43489600.632771425,43468207
1759433313.285,8700,21494,2.153106903135765,589.5086007815407,593.2410891627223,43464197.310130835,43442704
1759433315.344,8750,21594,2.144905969798566,589.574431454163,592.729598790123,43421377.16852843,43399784
